Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,endereco_completo,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE,TIPO_UE2
232,94129,EMEF,GUILHERME DE ALMEIDA,PENHA,PE I,EMEFGUILHERMEALMEIDA@PREFEITURA.SP.GOV.BR,RUA FAUSTINO PAGANINI,647,VILA PIERINA,"RUA FAUSTINO PAGANINI, 647 - VILA PIERINA",3732010,26410956,,Apetece Sistemas de Alimentação Ltda,7037,EMEF
233,94137,EMEF,CECILIA MEIRELES,PENHA,PE I,emefceciliameireles@prefeitura.sp.gov.br,RUA FREI RICARDO DO PILAR,60,CANGAÍBA,"RUA FREI RICARDO DO PILAR, 60 - CANGAÍBA",3721090,29586723,29582743,Apetece Sistemas de Alimentação Ltda,7038,EMEF
234,94145,EMEF,EDGARD CAVALHEIRO,PENHA,PE I,emefedgardcavalheiro@prefeitura.sp.gov.br,RUA PORTO DA GLÓRIA,342,VILA MESQUITA,"RUA PORTO DA GLÓRIA, 342 - VILA MESQUITA",3714050,26419440,,Apetece Sistemas de Alimentação Ltda,7039,EMEF
235,94153,EMEF,ARTHUR AZEVEDO,PENHA,PE II,EMEFARTHURAZEVEDO@IG.COM.BR,PARQUE BUTUÍ,S/N,TATUAPÉ,"PARQUE BUTUÍ, S/N - TATUAPÉ",3065025,22954096,29419022,Apetece Sistemas de Alimentação Ltda,7165,EMEF
236,94161,EMEF,"NILO PECANHA, PRES.",FREGUÊSIA / BRASILÂNDIA,FO,EMEFNILOPECANHA@PREFEITURA.SP.GOV.BR,RUA ENEIAS LUIS CARLOS BARBANTI,660,VILA ARCÁDIA,"RUA ENEIAS LUIS CARLOS BARBANTI, 660 - VILA ARCÁDIA",2911000,39316212,39322970,SHA Comércio de Alimentos Ltda,7063,EMEF
237,94170,EMEF,PLINIO AYROSA,FREGUÊSIA / BRASILÂNDIA,FO,emefplinioayrosa@prefeitura.sp.gov.br,RUA TOMÁS RAMOS JORDÃO,259,PARQUE MONTEIRO SOARES,"RUA TOMÁS RAMOS JORDÃO, 259 - PARQUE MONTEIRO SOARES",2736000,39925917,39753074,SHA Comércio de Alimentos Ltda,7064,EMEF
238,94188,EMEF,"JOANINHA GRASSI FAGUNDES, PROFA.",FREGUÊSIA / BRASILÂNDIA,FO,emefjgfagundes@prefeitura.sp.gov.br,RUA ALBERTO ANDALÓ,36,PARQUE SÃO LUÍS,"RUA ALBERTO ANDALÓ, 36 - PARQUE SÃO LUÍS",2840080,39234464,39240067,SHA Comércio de Alimentos Ltda,7065,EMEF
239,94196,EMEF,ERICO VERISSIMO,FREGUÊSIA / BRASILÂNDIA,FO,emefeverisimo@prefeitura.sp.gov.br,RUA RAFAEL ALVES,295,VILA MARINA,"RUA RAFAEL ALVES, 295 - VILA MARINA",2967050,39752909,39755517,SHA Comércio de Alimentos Ltda,7066,EMEF
240,94200,EMEF,"MILTOM CAMPOS, SEN.",FREGUÊSIA / BRASILÂNDIA,FO,emefmiltoncampos@prefeitura.sp.gov.br,RUA PERSIO DE SOUZA QUEIROZ FILHO,155,VILA ISABEL,"RUA PERSIO DE SOUZA QUEIROZ FILHO, 155 - VILA ISABEL",2846040,39235625,,SHA Comércio de Alimentos Ltda,7067,EMEF
241,94218,EMEF,"ANDRE RODRIGUES DE ALCKMIN, PROF.",FREGUÊSIA / BRASILÂNDIA,FO,emefalckmin@prefeitura.sp.gov.br,RUA MARCELINO JOSE DE FREITAS,619,VILA TERESINHA,"RUA MARCELINO JOSE DE FREITAS, 619 - VILA TERESINHA",2853010,39217778,39213875,SHA Comércio de Alimentos Ltda,7068,EMEF
242,94226,EMEF,"RAUL FERNANDES, EMB.",FREGUÊSIA / BRASILÂNDIA,FO,emefraulfernandes@prefeitura.sp.gov.br,RUA NAIR RAMOS SCHURING,2515,VILA BRASILANDIA,"RUA NAIR RAMOS SCHURING, 2515 - VILA BRASILANDIA",2845040,39211033,39250507,SHA Comércio de Alimentos Ltda,7069,EMEF
243,94234,EMEF,THEO DUTRA,FREGUÊSIA / BRASILÂNDIA,FO,EMEFTHEODUTRA@PREFEITURA.SP.GOV.BR,AVENIDA GUILHERME DE ALMEIDA,110,VILA PENTEADO,"AVENIDA GUILHERME DE ALMEIDA, 110 - VILA PENTEADO",2866040,38518820,,SHA Comércio de Alimentos Ltda,7070,EMEF
244,94242,EMEF,"ANTONIO PRUDENTE, PROF.",FREGUÊSIA / BRASILÂNDIA,FO,emefaprudente@prefeitura.sp.gov.br,RUA MANUEL INACIO ALVARENGA,50,VILA PENTEADO,"RUA MANUEL INACIO ALVARENGA, 50 - VILA PENTEADO",2865110,38515722,,SHA Comércio de Alimentos Ltda,7071,EMEF
245,94251,EMEF,"SEBASTIAO NOGUEIRA DE LIMA, DES.",FREGUÊSIA / BRASILÂNDIA,FO,emefsnogueira@prefeitura.sp.gov.br,RUA JOAQUINA MARIA DOS SANTOS,177,VILA RICA,"RUA JOAQUINA MARIA DOS SANTOS, 177 - VILA RICA",2860110,39849509,,SHA Comércio de Alimentos Ltda,7072,EMEF
246,94269,EMEF,CASTRO ALVES,FREGUÊSIA / BRASILÂNDIA,FO,emefcastroalves@prefeitura.sp.gov.br,RUA AGENOR ALVES MEIRA,285,JARDIM DOS FRANCOS,"RUA AGENOR ALVES MEIRA, 285 - JARDIM DOS FRANCOS",2874140,38590800,39840774,SHA Comércio de Alimentos Ltda,7073,EMEF
247,94277,EMEF,JOAO AMOS COMENIUS,FREGUÊSIA / BRASILÂNDIA,FO,emefjacomenius@prefeitura.sp.gov.br,RUA IBIRAIARAS,400,JARDIM VISTA ALEGRE,"RUA IBIRAIARAS, 400 - JARDIM VISTA ALEGRE",2878080,38517688,,SHA Comércio de Alimentos Ltda,7074,EMEF
248,94285,EMEF,RAUL DE LEONI,JAÇANÃ / TREMEMBÉ,JT,EMEFRLEONI@PREFEITURA.SP.GOV.BR,AVENIDA JOSE DA ROCHA VIANA,44,VILA PEDRA BRANCA,"AVENIDA JOSE DA ROCHA VIANA, 44 - VILA PEDRA BRANCA",2635090,22319330,,SHA Comércio de Alimentos Ltda,7130,EMEF
249,94293,EMEF,OSVALDO QUIRINO SIMOES,FREGUÊSIA / BRASILÂNDIA,FO,EMEFOQSIMOES@PREFEITURA.SP.GOV.BR,RUA CAMILO PECANHA 10,10,VILA DIONÍSIA,"RUA CAMILO PECANHA 10, 10 - VILA DIONÍSIA",2670030,38515329,38594349,SHA Comércio de Alimentos Ltda,7081,EMEF
250,94307,EMEF,"FREDERICO GUSTAVO DOS SANTOS, TTE. AVIADOR",FREGUÊSIA / BRASILÂNDIA,FO,emeffgsantos@prefeitura.sp.gov.br,AVENIDA GENERAL PENHA BRASIL,139,VILA ANGELICA,"AVENIDA GENERAL PENHA BRASIL, 139 - VILA ANGELICA",2673000,38515820,38515633,SHA Comércio de Alimentos Ltda,7086,EMEF
251,94315,EMEF,PEDRO AMERICO,FREGUÊSIA / BRASILÂNDIA,FO,EMEFPEDROAMERICO@PREFEITURA.SP.GOV.BR,RUA VICENTE JORGE,100,VILA BANCARIA MUNHOZ,"RUA VICENTE JORGE, 100 - VILA BANCARIA MUNHOZ",2759100,3923-4650,,SHA Comércio de Alimentos Ltda,7075,EMEF
252,94323,EMEF,"ELIAS DE SIQUEIRA CAVALCANTI, DR.",FREGUÊSIA / BRASILÂNDIA,FO,emefeliascavalcanti@prefeitura.sp.gov.br,RUA SANTA ANGELA,50,VILA PALMEIRAS,"RUA SANTA ANGELA, 50 - VILA PALMEIRAS",2727000,39310100,,SHA Comércio de Alimentos Ltda,7076,EMEF
253,94331,EMEF,HUMBERTO DANTAS,FREGUÊSIA / BRASILÂNDIA,FO,EMEFHDANTAS@PREFEITURA.SP.GOV.BR,RUA MANOEL DIAS DO CAMPO,464,CASA VERDE ALTA,"RUA MANOEL DIAS DO CAMPO, 464 - CASA VERDE ALTA",2564010,39666947,38572522,SHA Comércio de Alimentos Ltda,7082,EMEF
254,94340,EMEF,"AROLDO DE AZEVEDO, PROF.",FREGUÊSIA / BRASILÂNDIA,FO,emefarazevedo@prefeitura.sp.gov.br,RUA FRANCISCO AUGUSTO LOPES,223,VILA BARBOSA,"RUA FRANCISCO AUGUSTO LOPES, 223 - VILA BARBOSA",2557120,39663047,38583559,SHA Comércio de Alimentos Ltda,7083,EMEF
255,94358,EMEF,"ANGELINA MAFFEI VITA, DRA.",FREGUÊSIA / BRASILÂNDIA,FO,EMEFMVITA@PREFEITURA.SP.GOV.BR,RUA ZILDA,193,CASA VERDE ALTA,"RUA ZILDA, 193 - CASA VERDE ALTA",2545000,38579122,,SHA Comércio de Alimentos Ltda,7084,EMEF
256,94366,EMEF,"GARCIA D'AVILA, CTE.",FREGUÊSIA / BRASILÂNDIA,FO,emefgdavila@prefeitura.sp.gov.br,RUA ARMANDO COELHO SILVA,859,PARQUE PERUCHE,"RUA ARMANDO COELHO SILVA, 859 - PARQUE PERUCHE",2539000,22391667,22390065,SHA Comércio de Alimentos Ltda,7085,EMEF
257,94374,CEU EMEF,"TEOTONIO VILELA, SEN.",FREGUÊSIA / BRASILÂNDIA,FO,emefceudapaz@prefeitura.sp.gov.br,RUA DANIEL CERRI,1549,JARDIM PARANÁ,"RUA DANIEL CERRI, 1549 - JARDIM PARANÁ",2876170,39863423,,SHA Comércio de Alimentos Ltda,7077,EMEF
258,94382,EMEF,"CECILIA MORAES DE VASCONCELOS, PROFA.",FREGUÊSIA / BRASILÂNDIA,FO,EMEFCMVASCONCELOS@PREFEITURA.SP.GOV.BR,RUA RÔMULO NALDI,147,CONJUNTO PROMORAR ESTRADA DA PARADA,"RUA RÔMULO NALDI, 147 - CONJUNTO PROMORAR ESTRADA DA PARADA",2873250,38514356,,SHA Comércio de Alimentos Ltda,7078,EMEF
259,94617,EMEF,"FARIA LIMA, BRIG.",IPIRANGA,IP I,EMEFFLIMA@PREFEITURA.SP.GOV.BR,RUA AMETISTA,50,ACLIMACAO,"RUA AMETISTA, 50 - ACLIMACAO",4109010,55730413,,Singular Gestão de Serviços Ltda,7114,EMEF
260,94625,EMEF,"CAXIAS, DUQUE DE",IPIRANGA,IP I,emefdcaxias@prefeitura.sp.gov.br,PRACA DOUTOR MÁRIO MARGARIDO,35,LIBERDADE,"PRACA DOUTOR MÁRIO MARGARIDO, 35 - LIBERDADE",1514020,32098283,,Singular Gestão de Serviços Ltda,7115,EMEF
261,94633,EMEF,CELSO LEITE RIBEIRO FILHO,IPIRANGA,IP I,EMEFCELSOLRIBEIRO@PREFEITURA.SP.GOV.BR,RUA HUMAITA,480,BELA VISTA,"RUA HUMAITA, 480 - BELA VISTA",1321010,32415519,,Singular Gestão de Serviços Ltda,7117,EMEF
262,94641,EMEF,"HENRIQUE, INFANTE D.",PENHA,PE II,EMEFHENRIQUE@PREFEITURA.SP.GOV.BR,RUA COMENDADOR NESTOR PEREIRA,285,CANINDE,"RUA COMENDADOR NESTOR PEREIRA, 285 - CANINDE",3034070,33131988,,Apetece Sistemas de Alimentação Ltda,9844,EMEF
263,94668,EMEFM,"DERVILLE ALLEGRETTI, PROF.",JAÇANÃ / TREMEMBÉ,JT,emefmdallegretti@prefeitura.sp.gov.br,RUA VOLUNTARIOS DA PATRIA,777,SANTANA,"RUA VOLUNTARIOS DA PATRIA, 777 - SANTANA",2011000,22216513,22211858,SHA Comércio de Alimentos Ltda,6776,EMEF
264,94676,EMEF,"ADOLPHO OTTO DE LAET, PROF.",JAÇANÃ / TREMEMBÉ,JT,emefaolaet@prefeitura.sp.gov.br,RUA ISIDORO DE LAET,165,ÁGUA FRIA,"RUA ISIDORO DE LAET, 165 - ÁGUA FRIA",2408030,29786301,29738586,SHA Comércio de Alimentos Ltda,7128,EMEF
265,94684,EMEF,MARCOS MELEGA,JAÇANÃ / TREMEMBÉ,JT,emefmmelega@prefeitura.sp.gov.br,RUA MONT BLANC,98,LAUZANE PAULISTA,"RUA MONT BLANC, 98 - LAUZANE PAULISTA",2440010,22311020,22337748,SHA Comércio de Alimentos Ltda,7129,EMEF
266,94692,EMEF,MARCILIO DIAS,FREGUÊSIA / BRASILÂNDIA,FO,EMEFMDIAS@PREFEITURA.SP.GOV.BR,RUA RIBEIRO JUNQUEIRA,259,VILA ROQUE,"RUA RIBEIRO JUNQUEIRA, 259 - VILA ROQUE",2473010,39846967,39813334,SHA Comércio de Alimentos Ltda,7089,EMEF
267,94706,EMEF,"GASTAO MOUTINHO, CTE.",JAÇANÃ / TREMEMBÉ,JT,emefgmoutinho@prefeitura.sp.gov.br,RUA CORONEL JOAO DA SILVA FEIJO,40,PARQUE MANDAQUI,"RUA CORONEL JOAO DA SILVA FEIJO, 40 - PARQUE MANDAQUI",2422200,22310074,22313788,SHA Comércio de Alimentos Ltda,7131,EMEF
268,94714,EMEF,"NOE AZEVEDO, PROF.",JAÇANÃ / TREMEMBÉ,JT,emefnazevedo@prefeitura.sp.gov.br,RUA SAO CLETO,165,JARDIM DENISE,"RUA SAO CLETO, 165 - JARDIM DENISE",2375000,29915068,22039875,SHA Comércio de Alimentos Ltda,7118,EMEF
269,94722,EMEF,JOAO RAMOS - PERNAMBUCO - ABOLICIONISTA,JAÇANÃ / TREMEMBÉ,JT,emefjrpernambuco@prefeitura.sp.gov.br,RUA JOAO NICOLAU CHAMMA,253,JARDIM VIRGINIA BIANCA,"RUA JOAO NICOLAU CHAMMA, 253 - JARDIM VIRGINIA BIANCA",2355060,29534414,22038575,SHA Comércio de Alimentos Ltda,7119,EMEF
270,94731,EMEF,"ESMERALDA SALLES PEREIRA RAMOS, PROFA.",JAÇANÃ / TREMEMBÉ,JT,emefespramos@prefeitura.sp.gov.br,RUA MARIA AMALIA LOPES AZEVEDO,2167,JARDIM YARA,"RUA MARIA AMALIA LOPES AZEVEDO, 2167 - JARDIM YARA",2350002,22046339,22046339,SHA Comércio de Alimentos Ltda,8441,EMEF
271,94749,EMEF,MARTIN FRANCISCO RIBEIRO DE ANDRADA,JAÇANÃ / TREMEMBÉ,JT,EMEFMFRANDRADA@PREFEITURA.SP.GOV.BR,RUA PAULO CESAR,126,VILA MAZZEI,"RUA PAULO CESAR, 126 - VILA MAZZEI",2311240,29914003,22615400,SHA Comércio de Alimentos Ltda,7125,EMEF
272,94757,EMEF,"RONDON, MAL.",JAÇANÃ / TREMEMBÉ,JT,emefrondon@prefeitura.sp.gov.br,RUA DO BURUÍ,120,PARQUE CASA DE PEDRA,"RUA DO BURUÍ, 120 - PARQUE CASA DE PEDRA",2320170,29910823,,SHA Comércio de Alimentos Ltda,7120,EMEF
273,94765,EMEF,"MAXIMO DE MOURA SANTOS, PROF.",JAÇANÃ / TREMEMBÉ,JT,emefmmsantos@prefeitura.sp.gov.br,RUA JULIA LOPES DE ALMEIDA,275,VILA PAULICEIA,"RUA JULIA LOPES DE ALMEIDA, 275 - VILA PAULICEIA",2301000,29732776,,SHA Comércio de Alimentos Ltda,8429,EMEF
274,94773,EMEF,OLIVA IRENE BAYERLEIN SILVA,JAÇANÃ / TREMEMBÉ,JT,EMEFORBSILVA@PREFEITURA.SP.GOV.BR,RUA AMAZONAS DA SILVA,893,VILA GUILHERME,"RUA AMAZONAS DA SILVA, 893 - VILA GUILHERME",2051001,29099834,29099898,SHA Comércio de Alimentos Ltda,7144,EMEF
275,94781,EMEF,RUY BARBOSA,JAÇANÃ / TREMEMBÉ,JT,emefrbarbosa@prefeitura.sp.gov.br,AVENIDA CONCEICAO 1385,1385,VILA GUILHERME,"AVENIDA CONCEICAO 1385, 1385 - VILA GUILHERME",2072001,29015064,29096868,SHA Comércio de Alimentos Ltda,7143,EMEF
276,94790,EMEF,"HELENA LOMBARDI BRAGA, PROFA.",JAÇANÃ / TREMEMBÉ,JT,emefhlbraga@prefeitura.sp.gov.br,RUA DIRCE,106,VILA LEONOR,"RUA DIRCE, 106 - VILA LEONOR",2077080,29016711,29096687,SHA Comércio de Alimentos Ltda,7142,EMEF
277,94803,EMEF,"ARY GOMES, CEL.",JAÇANÃ / TREMEMBÉ,JT,EMEFAGOMES@PREFEITURA.SP.GOV.BR,RUA BENEDITO ALESSIO,184,JARDIM ANDARAI,"RUA BENEDITO ALESSIO, 184 - JARDIM ANDARAI",2166100,29674106,29541721,SHA Comércio de Alimentos Ltda,7134,EMEF
278,94811,EMEF,"ROMAO GOMES, CEL.",JAÇANÃ / TREMEMBÉ,JT,EMEFRGOMES@PREFEITURA.SP.GOV.BR,RUA SOLDADO JOSE VICENTE DE PAULA,140,PARQUE NOVO MUNDO,"RUA SOLDADO JOSE VICENTE DE PAULA, 140 - PARQUE NOVO MUNDO",2180020,29540551,29676634,SHA Comércio de Alimentos Ltda,7135,EMEF
279,94820,EMEF,JOAO DOMINGUES SAMPAIO,JAÇANÃ / TREMEMBÉ,JT,emefjdsampaio@prefeitura.sp.gov.br,RUA GASTÃO MADEIRA,386,VILA MARIA ALTA,"RUA GASTÃO MADEIRA, 386 - VILA MARIA ALTA",2131080,29540862,29544822,SHA Comércio de Alimentos Ltda,7136,EMEF
280,94838,EMEF,"PEDRO I, D.",JAÇANÃ / TREMEMBÉ,JT,emefpedroi@prefeitura.sp.gov.br,PRACA PRESIDENTE JÂNIO DA SILVA QUADROS,316,JARDIM JAPÃO,"PRACA PRESIDENTE JÂNIO DA SILVA QUADROS, 316 - JARDIM JAPÃO",2132000,29899769,22017173,SHA Comércio de Alimentos Ltda,7137,EMEF
281,94846,EMEF,"TAMANDARE, ALM.",JAÇANÃ / TREMEMBÉ,JT,emeftamandare@prefeitura.sp.gov.br,RUA GENERAL MENDES,46,VILA MARIA ALTA,"RUA GENERAL MENDES, 46 - VILA MARIA ALTA",2127020,29544645,29547977,SHA Comércio de Alimentos Ltda,7138,EMEF
282,94854,EMEF,ENEAS CARVALHO DE AGUIAR,JAÇANÃ / TREMEMBÉ,JT,emefecaguiar@prefeitura.sp.gov.br,RUA FRANCISCO FRANCO MACHADO,74,VILA SABRINA,"RUA FRANCISCO FRANCO MACHADO, 74 - VILA SABRINA",2139020,29493356,22010522,SHA Comércio de Alimentos Ltda,7139,EMEF
283,94862,EMEF,ALBERTO SANTOS DUMONT,JAÇANÃ / TREMEMBÉ,JT,emefasdumont@prefeitura.sp.gov.br,RUA TENENTE SOTOMANO,1920,JARDIM BRASIL ZONA NORTE,"RUA TENENTE SOTOMANO, 1920 - JARDIM BRASIL ZONA NORTE",2226001,2201-8090,22125955,SHA Comércio de Alimentos Ltda,7140,EMEF
284,94871,EMEF,"JULIO MARCONDES SALGADO, GEN.",JAÇANÃ / TREMEMBÉ,JT,emefjmsalgado@prefeitura.sp.gov.br,AVENIDA EDU CHAVES,1289,PARQUE EDU CHAVES,"AVENIDA EDU CHAVES, 1289 - PARQUE EDU CHAVES",2229001,22492201,22429673,SHA Comércio de Alimentos Ltda,7132,EMEF
285,94889,EMEF,"ANTONIO SANT'ANA GALVAO, FREI",JAÇANÃ / TREMEMBÉ,JT,EMEFASGALVAO@PREFEITURA.SP.GOV.BR,RUA GENERAL JERONIMO FURTADO,715,JARDIM MODELO,"RUA GENERAL JERONIMO FURTADO, 715 - JARDIM MODELO",2237000,22417328,22418945,SHA Comércio de Alimentos Ltda,7133,EMEF
286,94897,EMEF,OCTAVIO PEREIRA LOPES,JAÇANÃ / TREMEMBÉ,JT,EMEFOPLOPES@PREFEITURA.SP.GOV.BR,RUA ALCY BORGES DOS SANTOS,242,GUAPIRA,"RUA ALCY BORGES DOS SANTOS, 242 - GUAPIRA",2276020,22412815,,SHA Comércio de Alimentos Ltda,7121,EMEF
287,94901,EMEF,EDSON RODRIGUES,JAÇANÃ / TREMEMBÉ,JT,emeferodrigues@prefeitura.sp.gov.br,RUA FILADELFO GOUVEIA NETO,131,VILA CONSTANCA,"RUA FILADELFO GOUVEIA NETO, 131 - VILA CONSTANCA",2256090,22407117,22429022,SHA Comércio de Alimentos Ltda,7122,EMEF
288,94919,EMEF,LOURENCO FILHO,JAÇANÃ / TREMEMBÉ,JT,EMEFLFILHO@PREFEITURA.SP.GOV.BR,RUA SÃO GERALDINO,212,VILA CONSTANCA,"RUA SÃO GERALDINO, 212 - VILA CONSTANCA",2258220,22405088,22491149,SHA Comércio de Alimentos Ltda,7123,EMEF
289,94927,EMEF,"MARIA HELENA FARIA LIMA, PROFA.",JAÇANÃ / TREMEMBÉ,JT,EMEFMHFLIMA@PREFEITURA.SP.GOV.BR,AVENIDA ROLAND GARROS,573,JARDIM BRASIL,"AVENIDA ROLAND GARROS, 573 - JARDIM BRASIL",2235000,22126942,22015241,SHA Comércio de Alimentos Ltda,7145,EMEF
290,94935,EMEF,"FRANKLYN  AUGUSTO DE MOURA CAMPOS, PROF.",JAÇANÃ / TREMEMBÉ,JT,EMEFFAMCAMPOS@PREFEITURA.SP.GOV.BR,RUA MAJOR DANTAS CORTEZ,1001,VILA GUSTAVO,"RUA MAJOR DANTAS CORTEZ, 1001 - VILA GUSTAVO",2206000,22016250,22019788,SHA Comércio de Alimentos Ltda,7141,EMEF
291,94943,EMEF,RODRIGUES ALVES,JAÇANÃ / TREMEMBÉ,JT,emefralves@prefeitura.sp.gov.br,RUA BORGES,242,PARADA INGLESA,"RUA BORGES, 242 - PARADA INGLESA",2247000,22013734,,SHA Comércio de Alimentos Ltda,7124,EMEF
292,94951,EMEF,"SHIRLEY GUIO, PROFA.",JAÇANÃ / TREMEMBÉ,JT,emefsguio@prefeitura.sp.gov.br,RUA CRISTÓVÃO LINS,611,VILA ISOLINA MAZZEI,"RUA CRISTÓVÃO LINS, 611 - VILA ISOLINA MAZZEI",2083000,29499251,22019779,SHA Comércio de Alimentos Ltda,7146,EMEF
293,94960,EMEF,JOSE MARIA LISBOA,IPIRANGA,IP II,emefjmlisboa@prefeitura.sp.gov.br,PRACA JOAO RODRIGUES,575,JARDIM DA SAUDE,"PRACA JOAO RODRIGUES, 575 - JARDIM DA SAUDE",4290090,50611447,50619600,Singular Gestão de Serviços Ltda,7147,EMEF
294,94978,EMEF,"EURICO GASPAR DUTRA, MAL.",IPIRANGA,IP II,emefegdutra@prefeitura.sp.gov.br,RUA JEAN DE LA HUERTA,136,VILA BRASILINA,"RUA JEAN DE LA HUERTA, 136 - VILA BRASILINA",4163010,29473336,29698666,Singular Gestão de Serviços Ltda,7148,EMEF
295,94986,EMEF,"SYLVIA MARTIN PIRES, PROFA.",IPIRANGA,IP II,emefsmpires@prefeitura.sp.gov.br,RUA ITALVA,266,SAÚDE,"RUA ITALVA, 266 - SAÚDE",4294030,29470014,,Singular Gestão de Serviços Ltda,7149,EMEF
296,94994,EMEF,OLAVO FONTOURA,IPIRANGA,IP II,emefofontoura@prefeitura.sp.gov.br,RUA DOUTOR LAFAIETTE DE SOUSA CAMARGO,72,JARDIM CLIMAX,"RUA DOUTOR LAFAIETTE DE SOUSA CAMARGO, 72 - JARDIM CLIMAX",4177380,23355907,,Singular Gestão de Serviços Ltda,7150,EMEF
297,95001,EMEF,JOAQUIM NABUCO,IPIRANGA,IP II,emefjnabuco@prefeitura.sp.gov.br,PRACA DOUTOR WADIH SAFADY,10,JARDIM MARIA ESTELA,"PRACA DOUTOR WADIH SAFADY, 10 - JARDIM MARIA ESTELA",4181050,29469248,,Singular Gestão de Serviços Ltda,7151,EMEF
298,95010,EMEF,CASSIANO RICARDO,IPIRANGA,IP II,emefcricardo@prefeitura.sp.gov.br,RUA JOAO JOSE DA SILVA,422,VILA CARAGUATA,"RUA JOAO JOSE DA SILVA, 422 - VILA CARAGUATA",4191140,23319645,,Singular Gestão de Serviços Ltda,7152,EMEF
299,95028,EMEF,JOSE DO PATROCINIO,IPIRANGA,IP II,emefjpatrocinio@prefeitura.sp.gov.br,RUA CANTIGA INGÊNUA,64,JARDIM SANTA EMÍLIA,"RUA CANTIGA INGÊNUA, 64 - JARDIM SANTA EMÍLIA",4184065,23313132,,Singular Gestão de Serviços Ltda,7153,EMEF
300,95036,EMEF,"LEAO MACHADO, PROF.",IPIRANGA,IP II,emeflmachado@prefeitura.sp.gov.br,AVENIDA CARLOS LIVIERO,600,VILA LIVIERO,"AVENIDA CARLOS LIVIERO, 600 - VILA LIVIERO",4186100,23317070,23350500,Singular Gestão de Serviços Ltda,7154,EMEF
301,95044,EMEF,"CAMPOS SALLES, PRES.",IPIRANGA,IP II,emefcsalles@prefeitura.sp.gov.br,ESTRADA DAS LÁGRIMAS,2385,IPIRANGA,"ESTRADA DAS LÁGRIMAS, 2385 - IPIRANGA",4232000,29476723,,Singular Gestão de Serviços Ltda,7155,EMEF
302,95052,EMEF,ANTONIO DE ALCANTARA MACHADO,IPIRANGA,IP II,emefaamachado@prefeitura.sp.gov.br,RUA BELGRADO,74,MOINHO VELHO,"RUA BELGRADO, 74 - MOINHO VELHO",4285040,22156053,,Singular Gestão de Serviços Ltda,7156,EMEF
303,95061,EMEF,"FRANCISCO MEIRELLES, DES.",IPIRANGA,IP II,emeffmeireles@prefeitura.sp.gov.br,RUA CAMPANTE,357,VILA INDEPENDÊNCIA,"RUA CAMPANTE, 357 - VILA INDEPENDÊNCIA",4224010,22734477,,Singular Gestão de Serviços Ltda,7157,EMEF
304,95079,EMEF,"FABIO DA SILVA PRADO, DR.",PENHA,PE II,emeffsprado@prefeitura.sp.gov.br,RUA TAQUARI,459,MOOCA,"RUA TAQUARI, 459 - MOOCA",3166000,26932027,26946315,Apetece Sistemas de Alimentação Ltda,7159,EMEF
305,95087,EMEF,"SILVIO FLEMING, MAJ.",PENHA,PE II,EMEFSFLEMING@PREFEITURA.SP.GOV.BR,RUA PAULO DE LIMA CORREA,65,VILA LIBANESA,"RUA PAULO DE LIMA CORREA, 65 - VILA LIBANESA",3193060,29653052,,Apetece Sistemas de Alimentação Ltda,7160,EMEF
306,95095,EMEF,EMILIANO DI CAVALCANTI,PENHA,PE II,EMEFDICAVALCANTI@PREFEITURA.SP.GOV.BR,RUA ALMIRANTE ALEXANDRINO,541,VILA INVERNADA,"RUA ALMIRANTE ALEXANDRINO, 541 - VILA INVERNADA",3350010,20283756,29667839,Apetece Sistemas de Alimentação Ltda,7161,EMEF
307,95109,EMEF,LEONOR MENDES DE BARROS,PENHA,PE II,emflmbarros@prefeitura.sp.gov.br,RUA RAIMUNDO CORREIA,5,VILA DIVA ZONA LESTE,"RUA RAIMUNDO CORREIA, 5 - VILA DIVA ZONA LESTE",3351050,20283765,29657517,Apetece Sistemas de Alimentação Ltda,7162,EMEF
308,95117,EMEF,"KENNEDY, PRES.",ITAQUERA,IQ,emefpresidentekennedy@prefeitura.sp.gov.br,RUA ACURUÍ,700,VILA FORMOSA,"RUA ACURUÍ, 700 - VILA FORMOSA",3355000,26733014,26734196,Apetece Sistemas de Alimentação Ltda,7163,EMEF
309,95125,EMEF,BARTOLOMEU LOURENCO DE GUSMAO,ITAQUERA,IQ,emefbartolomeugusmao@prefeitura.sp.gov.br,RUA PICINGUABA,802,VILA SANTA ISABEL,"RUA PICINGUABA, 802 - VILA SANTA ISABEL",3432000,22945906,22954185,Apetece Sistemas de Alimentação Ltda,7164,EMEF
310,95133,EMEF,"JOAO NAOKI SUMITA, DR.",ITAQUERA,IQ,emefjoaonaoki@prefeitura.sp.gov.br,AVENIDA MONSENHOR ANTONIO CASTRO,222,JARDIM VILA FORMOSA,"AVENIDA MONSENHOR ANTONIO CASTRO, 222 - JARDIM VILA FORMOSA",3461000,21547028,21541121,Apetece Sistemas de Alimentação Ltda,10037,EMEF
