Ordem,EOL,TIPO DE U.E,NOME,DRE,SIGLA/LOTE,E-MAIL,ENDEREÇO,Nº,BAIRRO,,CEP,TELEFONE,TELEFONE2,EMPRESA,COD. CODAE
244,91278,EMEI,"GOMES CARDIM, INTENDENTE",PENHA,PE II,emeigcardim@prefeitura.sp.gov.br,LARGO NOSSA SENHORA DO BOM PARTO,S/N,VILA GOMES CARDIM,"LARGO NOSSA SENHORA DO BOM PARTO, S/N - VILA GOMES CARDIM",03322-080,22957940,2091-3194,Apetece Sistemas de Alimentação Ltda,6808
245,91286,EMEI,"MARIA LAURA DE SOUZA CAMPOS, PROFA.",ITAQUERA,IQ,emeimlscampos@prefeitura.sp.gov.br,RUA MORORO,S/N,VILA ANTONINA,"RUA MORORO, S/N - VILA ANTONINA",03410-060,22953938,2295-3938,Apetece Sistemas de Alimentação Ltda,6809
246,91294,EMEI,QUINTINO BOCAIUVA,PENHA,PE II,emeiqbocaiuva@prefeitura.sp.gov.br,Rua Monte Serrat,468,TATUAPÉ,"Rua Monte Serrat, 468 - TATUAPÉ",03312-000,22953555,2097-2788,Apetece Sistemas de Alimentação Ltda,6810
247,91308,EMEI,"RAFAEL TOBIAS DE AGUIAR, BRIG.",PENHA,PE II,emeirtaguiar@prefeitrura.sp.gov.br,PRAÇA GOMES CARNEIRO,30,VILA GUILHERMINA,"PRAÇA GOMES CARNEIRO, 30 - VILA GUILHERMINA",03541-040,26840171,2684-0171,Apetece Sistemas de Alimentação Ltda,6680
248,91316,EMEI,"LUIZ GOMES CARDIM SANGIRARDI, ENG.",PENHA,PE II,emeilgcsangirardi@prefeitura.sp.gov.br,RUA LEONOR DOMINGUES,244,JARDIM HERCÍLIA,"RUA LEONOR DOMINGUES, 244 - JARDIM HERCÍLIA",03557-040,27491667,2749-1667,Apetece Sistemas de Alimentação Ltda,6678
249,91324,EMEI,EVARISTO DA VEIGA,PENHA,PE I,emeieveiga@prefeitura.sp.gov.br,RUA PIERRE JANSSEN,40,JARDIM NORDESTE,"RUA PIERRE JANSSEN, 40 - JARDIM NORDESTE",03690-010,20483062,2280-5737,Apetece Sistemas de Alimentação Ltda,6679
250,91332,EMEI,TOMAS ANTONIO GONZAGA,PENHA,PE I,emeiagonzaga@prefeitura.sp.gov.br,RUA SÍLVIO RIBEIRO DOS SANTOS,46,VILA UNIÃO,"RUA SÍLVIO RIBEIRO DOS SANTOS, 46 - VILA UNIÃO",03683-040,22804895,2041-5958,Apetece Sistemas de Alimentação Ltda,6671
251,91341,EMEI,"JOSE RUBENS PERES FERNANDES, PROF.",PENHA,PE I,emeijrpfernandes@prefeitura.sp.gov.br,RUA FAUSTINO PAGANINI,695,CHÁCARA CRUZEIRO DO SUL,"RUA FAUSTINO PAGANINI, 695 - CHÁCARA CRUZEIRO DO SUL",03732-010,26414958,2641-0625,Apetece Sistemas de Alimentação Ltda,6672
252,91359,EMEI,MARIO GRACIOTTI,PENHA,PE I,emeimgraciotti@prefeitura.sp.gov.br,RUA ENTRE RIOS,160,VILA BUENO AIRES,"RUA ENTRE RIOS, 160 - VILA BUENO AIRES",03736-000,2684 7178,2684-7178,Apetece Sistemas de Alimentação Ltda,6673
253,91367,EMEI,"GOULART, ENG.",PENHA,PE I,emeigoulart@prefeitura.sp.gov.br,PRAÇA GAJÉ,365,ENG. GOULART,"PRAÇA GAJÉ, 365 - ENG. GOULART",03725-040,26217131,2621-8095,Apetece Sistemas de Alimentação Ltda,6674
254,91375,EMEI,SILVIO ROMERO,PENHA,PE II,emeisromero@prefeitura.sp.gov.br,LARGO SÃO JOSÉ DO MARANHÃO,S/N,TATUAPÉ,"LARGO SÃO JOSÉ DO MARANHÃO, S/N - TATUAPÉ",03089-010,22952470,2092-8344,Apetece Sistemas de Alimentação Ltda,6811
255,91383,EMEI,"DUTRA, PRES.",PENHA,PE II,emeidutra@prefeitura.sp.gov.br,RUA SANTO ELIAS,146,TATUAPÉ,"RUA SANTO ELIAS, 146 - TATUAPÉ",03086-050,22964799,2295-3726,Apetece Sistemas de Alimentação Ltda,6812
256,91391,EMEI,MARY BUARQUE,PENHA,PE II,emeimbuarque@prefeitura.sp.gov.br,RUA RESTINGA,150,TATUAPÉ,"RUA RESTINGA, 150 - TATUAPÉ",03065-020,22952298,2296-5396,Apetece Sistemas de Alimentação Ltda,6813
257,91405,EMEI,MARIA LACERDA DE MOURA,PENHA,PE II,emeimlmoura@prefeitura.sp.gov.br,RUA FELIPE SALOMÃO,136,VILA DALILA,"RUA FELIPE SALOMÃO, 136 - VILA DALILA",03522-080,26510704,2651-0704,Apetece Sistemas de Alimentação Ltda,6675
258,91413,EMEI,RODRIGO SOARES JUNIOR,PENHA,PE I,emeirsoaresjr@prefeitura.sp.gov.br,RUA CAIÇARA DO RIO DO VENTO,237,VILA CISPER,"RUA CAIÇARA DO RIO DO VENTO, 237 - VILA CISPER",03817-000,25460814,,Apetece Sistemas de Alimentação Ltda,6683
259,91421,EMEI,ALFREDO DA ROCHA VIANA FILHO - PIXINGUINHA,PENHA,PE I,emeiarviana@prefeitura.sp.gov.br,RUA LUCIANO NOGUEIRA,360,JARDIM JANIÓPOLIS,"RUA LUCIANO NOGUEIRA, 360 - JARDIM JANIÓPOLIS",03721-080,29578588,2684-5742,Apetece Sistemas de Alimentação Ltda,6677
260,91430,EMEI,MANOEL PRETO,FREGUÊSIA / BRASILÂNDIA,FO,emeimpreto@prefeitura.sp.gov.br,RUA BONIFACIO CUBAS,356,FREGUESIA DO Ó,"RUA BONIFACIO CUBAS, 356 - FREGUESIA DO Ó",02736-000,39313871,3931-3887,SHA Comércio de Alimentos Ltda,6725
261,91448,EMEI,OLAVO BILAC,FREGUÊSIA / BRASILÂNDIA,FO,obilac@prefeitura.sp.gov.br,RUA SILVINO LOPES,S/N,FREGUESIA DO Ó,"RUA SILVINO LOPES, S/N - FREGUESIA DO Ó",02803-030,39753471,3975-6643,SHA Comércio de Alimentos Ltda,6726
262,91456,EMEI,FELIPE MESTRE JOU,FREGUÊSIA / BRASILÂNDIA,FO,emeifmestrejou@prefeitura.sp.gov.br,AVENIDA JOAO PAULO I,1347,FREGUESIA DO Ó,"AVENIDA JOAO PAULO I, 1347 - FREGUESIA DO Ó",02738-000,39245724,3924-1946,SHA Comércio de Alimentos Ltda,6727
263,91464,EMEI,25 DE JANEIRO,FREGUÊSIA / BRASILÂNDIA,FO,emei25dejaneiro@prefeitura.sp.gov.br,RUA PADRE FELICIANO DOMINGUES,182,FREGUESIA DO Ó,"RUA PADRE FELICIANO DOMINGUES, 182 - FREGUESIA DO Ó",02965-140,39756908,3975-6908,SHA Comércio de Alimentos Ltda,6728
264,91472,EMEI,"JOSE CANAVO FILHO, CEL.",FREGUÊSIA / BRASILÂNDIA,FO,jcanavo@prefeitura.sp.gov.br,RUA EUVALDO AUGUSTO FREIRE,2,JARDIM CAROMBE,"RUA EUVALDO AUGUSTO FREIRE, 2 - JARDIM CAROMBE",02855-030,39215132,3921-5132,SHA Comércio de Alimentos Ltda,6729
265,91481,EMEI,"ALEXANDRE GAMA, CEL.",FREGUÊSIA / BRASILÂNDIA,FO,emeiagama@prefeitura.sp.gov.br,RUA GREGORIO POMAR,12,JARDIM DAMASCENO,"RUA GREGORIO POMAR, 12 - JARDIM DAMASCENO",02879-050,39214587,3921-4587,SHA Comércio de Alimentos Ltda,6730
266,91499,EMEI,ANITA GARIBALDI,FREGUÊSIA / BRASILÂNDIA,FO,emeiagaribaldi.prefeitura.sp.gov.br,RUA OTELO ZELONI,60,PARQUE PEDROSO,"RUA OTELO ZELONI, 60 - PARQUE PEDROSO",02850-040,38515611,2851-7262,SHA Comércio de Alimentos Ltda,6731
267,91502,EMEI,MARTINS FONTES,FREGUÊSIA / BRASILÂNDIA,FO,emeimfontes@prefeitura.sp.gopv.br,RUA BARTOLOMEU LAURENTI,205,PARQUE TIEITE,"RUA BARTOLOMEU LAURENTI, 205 - PARQUE TIEITE",02870-020,38510479,3851-0479,SHA Comércio de Alimentos Ltda,6718
268,91511,EMEI,"LUCAS NOGUEIRA GARCEZ, GOV.",FREGUÊSIA / BRASILÂNDIA,FO,emeilngarcez@prefeitura.sp.gov.br,RUA JOSE DA COSTA GAVIÃO,140,JARDIM LADEIRA ROSA,"RUA JOSE DA COSTA GAVIÃO, 140 - JARDIM LADEIRA ROSA",02172-000,38512560,3851-3284,SHA Comércio de Alimentos Ltda,6719
269,91529,EMEI,"BILAC PINTO, MIN.",FREGUÊSIA / BRASILÂNDIA,FO,emeibilac@prefeitura.sp.gov.br,RUA IBIRAIARAS,19,JARDIM VISTA ALEGRE,"RUA IBIRAIARAS, 19 - JARDIM VISTA ALEGRE",02878-080,38513508,3851-3508,SHA Comércio de Alimentos Ltda,6720
270,91537,EMEI,ROSA E CAROLINA AGAZZI,FREGUÊSIA / BRASILÂNDIA,FO,emeircagazzi@prefeitura.sp.gov.br,RUA DR. ARAUJO CASTRO,S/N,JARDIM PERI,"RUA DR. ARAUJO CASTRO, S/N - JARDIM PERI",02496-010,39848208,3851-0054,SHA Comércio de Alimentos Ltda,6721
271,91545,EMEI,JULIO DE MESQUITA FILHO,FREGUÊSIA / BRASILÂNDIA,FO,emeijmesquita@prefeitura.sp.gov.br,RUA PRF JOSE SOARES DE MELLO,64,VILA NOVA CACHOEIRINHA,"RUA PRF JOSE SOARES DE MELLO, 64 - VILA NOVA CACHOEIRINHA",02882-100,38514943,3851-0287,SHA Comércio de Alimentos Ltda,6740
272,91553,EMEI,NELSON MANDELA (EX GUIA LOPES),FREGUÊSIA / BRASILÂNDIA,FO,emeiglopes@prefeitura.sp.gov.br,AVENIDA PROFESSOR CELESTINO BOURROUL,358,JARDIM PEREIRA LEITE,"AVENIDA PROFESSOR CELESTINO BOURROUL, 358 - JARDIM PEREIRA LEITE",02710-000,38581407,3966-1082,SHA Comércio de Alimentos Ltda,6723
273,91561,EMEI,ABELARDO GALDINO PINTO - PIOLIN,FREGUÊSIA / BRASILÂNDIA,FO,emeiabgaldino@prefeitura.sp.gov.br,PRAÇA DO CENTENÁRIO,70,CASA VERDE,"PRAÇA DO CENTENÁRIO, 70 - CASA VERDE",02515-040,39550167,3966-6767,SHA Comércio de Alimentos Ltda,6724
274,91570,EMEI,"EDUARDO GOMES, BRIG.",FREGUÊSIA / BRASILÂNDIA,FO,emeiegomes@prefeitura.sp.gov.br,RUA SANTA EUDOXIA,800,PARQUE PERUCHE,"RUA SANTA EUDOXIA, 800 - PARQUE PERUCHE",02533-010,39660434,3858-0578,SHA Comércio de Alimentos Ltda,6732
275,91588,EMEI,BERTHA LUTZ,FREGUÊSIA / BRASILÂNDIA,FO,emeiberthalutz@prefeitura.sp.gov.bvr,RUA ROMULO NALDI,117,JARDIM ELISA MARIA,"RUA ROMULO NALDI, 117 - JARDIM ELISA MARIA",02873-250,38514412,3851-5094,SHA Comércio de Alimentos Ltda,6733
276,91596,EMEI,"ENZO SILVEIRA, DR.",FREGUÊSIA / BRASILÂNDIA,FO,emeienzosil@ig.com.br,RUA ARMANDO COELHO E SILVA,911,IMIRIM,"RUA ARMANDO COELHO E SILVA, 911 - IMIRIM",02539-000,22398109,2239-3721,SHA Comércio de Alimentos Ltda,6734
277,91723,EMEI,MANUEL BANDEIRA,FREGUÊSIA / BRASILÂNDIA,FO,emeimbandeira@prefeitura.sp.gov.br,RUA ANTONIO GENELLÍ,151,JARDIM MONTE ALEGRE,"RUA ANTONIO GENELLÍ , 151 - JARDIM MONTE ALEGRE",02811-020,39782337,3975-8973,SHA Comércio de Alimentos Ltda,6735
278,91731,EMEI,7 DE SETEMBRO,FREGUÊSIA / BRASILÂNDIA,FO,emei7desetembro@prefeitura.sp.gov.br,RUA BALTAZAR ABADAL,23,VILA SANTISTA,"RUA BALTAZAR ABADAL, 23 - VILA SANTISTA",02560-150,39510799,3951-0815,SHA Comércio de Alimentos Ltda,11087
279,91740,EMEI,JOSE BONIFACIO DE ANDRADA E SILVA,JAÇANÃ / TREMEMBÉ,JT,emeijbsilva@prefeitura.sp.gov.br,RUA DR. CESAR,581,SANTANA,"RUA DR. CESAR, 581 - SANTANA",02013-002,29784772,2973-9457,SHA Comércio de Alimentos Ltda,6767
280,91758,EMEI,"JOSE AUGUSTO CESAR, DR.",JAÇANÃ / TREMEMBÉ,JT,emeiacesar@prefeitura.sp.gov.br,PRACA DR. JOSE AUGUSTO CESAR,51,SANTANA,"PRACA DR. JOSE AUGUSTO CESAR , 51 - SANTANA",02403-080,29784169,2978-4169,SHA Comércio de Alimentos Ltda,6768
281,91766,EMEI,"GINA DE MARTINO, DRA.",JAÇANÃ / TREMEMBÉ,JT,emeigmartino@prefeitura.sp.gov.br,PRAÇA DONA JOANA,111,VILA AURORA,"PRAÇA DONA JOANA, 111 - VILA AURORA",02409-050,2203-4521,,SHA Comércio de Alimentos Ltda,6769
282,91774,EMEI,"ENIO CORREA, PROF.",JAÇANÃ / TREMEMBÉ,JT,emeiecorrea@prefeitura.sp.gov.br,AVENIDA BASILÉIA,80,LAUZANE PAULISTA,"AVENIDA BASILÉIA, 80 - LAUZANE PAULISTA",02440-160,22586173,2231-9840,SHA Comércio de Alimentos Ltda,6770
283,91782,EMEI,"EUDOXIA DE BARROS, PROFA.",JAÇANÃ / TREMEMBÉ,JT,emeiebarros@prefeitura.sp.gov.br,RUA SONIA MARGY,246,JARDIM TREMEMBÉ,"RUA SONIA MARGY, 246 - JARDIM TREMEMBÉ",02351-000,29962944,2203-3481,SHA Comércio de Alimentos Ltda,6771
284,91791,EMEI,ARTHUR ETZEL,JAÇANÃ / TREMEMBÉ,JT,emeiaetzel@prefeitura.sp.gov.br,PARQUE DOMINGOS LUIZ,20,JARDIM SÃO PAULO,"PARQUE DOMINGOS LUIZ, 20 - JARDIM SÃO PAULO",02043-080,29731598,2973-1598,SHA Comércio de Alimentos Ltda,6772
285,91821,EMEI,"FEIJO, REG.",IPIRANGA,IP I,emeifeijo@prefeitura.sp.gov.br,"RUA LACERDA FRANCO, DEP",795,CAMBUCI,"RUA LACERDA FRANCO, DEP, 795 - CAMBUCI",01536-000,32087804,3277-8700,Singular Gestão de Serviços Ltda,6758
286,91839,EMEI,ALBERTO DE OLIVEIRA,IPIRANGA,IP I,emeialbertooliveira@prefeitura.sp.gov.br,PRAÇA DONATELLO,335,CAMBUCI,"PRAÇA DONATELLO, 335 - CAMBUCI",01518-080,32087982,3207-3860,Singular Gestão de Serviços Ltda,6759
287,91847,EMEI,ANGELO MARTINO,IPIRANGA,IP I,emeiamartino@prefeitura.sp.gov.br,RUA HUMAITÁ,536,BELA VISTA,"RUA HUMAITÁ, 536 - BELA VISTA",01321-010,31016333,3101-6333 ,Singular Gestão de Serviços Ltda,6760
288,91855,EMEI,PATRICIA GALVAO,IPIRANGA,IP I,emeipgalvao@prefeitura.sp.gov.br,RUA DA AVANHANDAVA,472,BELA VISTA / CONSOLAÇAO,"RUA DA AVANHANDAVA, 472 - BELA VISTA / CONSOLAÇAO",01306-000,32567859,3237-3622,Singular Gestão de Serviços Ltda,6761
289,91863,EMEI,GABRIEL PRESTES,IPIRANGA,IP I,emeigprestes@prefeitura.sp.gov.br,RUA DA CONSOLAÇÃO,1012,CONSOLAÇÃO,"RUA DA CONSOLAÇÃO, 1012 - CONSOLAÇÃO",01302-000,32567260,3258-4875,Singular Gestão de Serviços Ltda,6762
290,91871,EMEI,ARMANDO DE ARRUDA PEREIRA,IPIRANGA,IP I,emeiaapereira@prefeitura..sp.gov.br,PRAÇA DA REPÚBLICA,350,VILA BUARQUE,"PRAÇA DA REPÚBLICA, 350 - VILA BUARQUE",01045-000,32213892,3224-8170,Singular Gestão de Serviços Ltda,6763
291,91880,EMEI,JOAO THEODORO,IPIRANGA,IP I,emeijtheodoro@prefeitura.sp.gov.br,RUA RIBEIRO DE LIMA,230,BOM RETIRO,"RUA RIBEIRO DE LIMA, 230 - BOM RETIRO",01122-000,33264632,3326-4506,Singular Gestão de Serviços Ltda,6764
292,91898,EMEI,"ALCEU MAYNARD DE ARAUJO, PROF.",IPIRANGA,IP I,emeiamaraujo@prefeitura.sp.gov.br,RUA NEVES CARVALHO,780-A,BOM RETIRO,"RUA NEVES CARVALHO, 780-A - BOM RETIRO",01132-010,32219134,3221-7993,Singular Gestão de Serviços Ltda,6765
293,91901,EMEI,CASPER LIBERO,PENHA,PE II,emeiclibero@prefeitura.sp.gov.br,RUA COM. NESTOR PEREIRA,146,CANINDÉ,"RUA COM. NESTOR PEREIRA, 146 - CANINDÉ",03034-070,33264631,3326-4631,Apetece Sistemas de Alimentação Ltda,9889
294,91910,EMEI,DELFINO AZEVEDO,IPIRANGA,IP II,emeidazevedo@prefeitura.sp.gov.br,PRAÇA PRIMEIRO DE OUTUBRO,30,IPIRANGA,"PRAÇA PRIMEIRO DE OUTUBRO, 30 - IPIRANGA",04261-140,20631602,2272-8023,Singular Gestão de Serviços Ltda,6795
295,91928,EMEI,"MILTON IMPROTA, PROF.",IPIRANGA,IP II,emeimimprota@prefeitura.sp.gov.br,PRAÇA PINHEIRO DA CUNHA,469,IPIRANGA,"PRAÇA PINHEIRO DA CUNHA, 469 - IPIRANGA",04275-050,50617235,5061-7235,Singular Gestão de Serviços Ltda,6796
296,91936,EMEI,"MANUEL SOARES NEIVA, CEL.",IPIRANGA,IP II,emeimsneiva@prefeitura.sp.gov.br,PRAÇA COSMOPOLITA,9,IPIRANGA,"PRAÇA COSMOPOLITA, 9 - IPIRANGA",04277-030,50622279,5062-2279,Singular Gestão de Serviços Ltda,6797
297,91944,EMEI,"THEREZINHA BATISTA PETTAN, PROFA.",IPIRANGA,IP II,emeitbpettan@prefeitura.sp.gov.br,RUA VIGARIO ALBERNAZ,834,VILA GUMERCINDO,"RUA VIGARIO ALBERNAZ, 834 - VILA GUMERCINDO",04134-021,50614908,5061-4908,Singular Gestão de Serviços Ltda,6798
298,91952,EMEI,MONTESE,IPIRANGA,IP II,emeimontese@prefeitura.sp.gov.br,RUA DOMINGOS DE ROGATIS,91,JARDIM DA SAUDE,"RUA DOMINGOS DE ROGATIS, 91 - JARDIM DA SAUDE",04290-080,50619003,5061-9003,Singular Gestão de Serviços Ltda,6799
299,91961,EMEI,"MARIO MARQUES E SERRA, PE.",IPIRANGA,IP II,emeimmserra@prefeitura.sp.gov.br,RUA FRANCISCO PESTANA,10,JARDIM CLIMAX,"RUA FRANCISCO PESTANA, 10 - JARDIM CLIMAX",04176-000,23355243,2335-4678,Singular Gestão de Serviços Ltda,6800
300,91979,EMEI,ANTONIO FRANCISCO LISBOA,IPIRANGA,IP II,emeiaflisboa@prefeitura.sp.gov.br,LARGO SÃO JOÃO CLIMACO,12,SÃO JOÃO CLIMACO,"LARGO SÃO JOÃO CLIMACO, 12 - SÃO JOÃO CLIMACO",04245-010,29463392,2948-4862,Singular Gestão de Serviços Ltda,6801
301,91987,CEU EMEI,"BENNO HUBERT STOLLENWERK, PE.",IPIRANGA,IP II,emeipadrebenno@prefeitura.sp.gog.br,RUA BARBINOS,111,JARDIM PATENTE,"RUA BARBINOS, 111 - JARDIM PATENTE",04240-110,29452519,2945-2520,Singular Gestão de Serviços Ltda,6802
302,91995,EMEI,BATISTA CEPELOS,IPIRANGA,IP II,emeibcepelos@prefeitura.sp.gov.br,RUA BARÃO DO RIO DA PRATA,5,CIDADE NOVA HELIÓPOLIS,"RUA BARÃO DO RIO DA PRATA, 5 - CIDADE NOVA HELIÓPOLIS",04231-004,22729351,2272-9351,Singular Gestão de Serviços Ltda,6803
303,92002,EMEI,"ISABEL, PRINC.",IPIRANGA,IP II,emeiprincisabel@prefeitura.sp.gov.br,RUA AMADIS,453,VILA INDEPENDÊNCIA,"RUA AMADIS, 453 - VILA INDEPENDÊNCIA",04221-000,22732570,2063-6866,Singular Gestão de Serviços Ltda,6804
304,92011,EMEI,"PEDRO I, D.",IPIRANGA,IP II,emeidompedro1@prefeitura.sp.gov.br,PRAÇA NAMI JAFET,305,IPIRANGA,"PRAÇA NAMI JAFET, 305 - IPIRANGA",04205-050,22731980,2272-9211,Singular Gestão de Serviços Ltda,6805
305,92029,EMEI,"TAMANDARE, ALM.",PENHA,PE II,emeitamandare@prefeitura.sp.gov.br,LARGO SÃO RAFAEL,185,MOÓCA,"LARGO SÃO RAFAEL, 185 - MOÓCA",03113-020,27966928,2291-2722,Apetece Sistemas de Alimentação Ltda,6814
306,92037,EMEI,MARCILIO DIAS,PENHA,PE II,emeimdias@prefeitura.sp.gov.br,RUA JAIBARAS,360,MOÓCA,"RUA JAIBARAS, 360 - MOÓCA",03163-040,26942458,2693-1896,Apetece Sistemas de Alimentação Ltda,6815
307,92045,EMEI,GUILHERME RUDGE,PENHA,PE II,emeigrudge@prefeitura.sp.gov.br,PRAÇA MAJOR GUILHERME RUDGE,128,BELENZINHO,"PRAÇA MAJOR GUILHERME RUDGE, 128 - BELENZINHO",03014-020,22929783,2694-9790,Apetece Sistemas de Alimentação Ltda,6816
308,92053,EMEI,ALUISIO DE AZEVEDO,PENHA,PE II,emeiaazevedo@prefeitura.sp.gov.br,RUA CORUMBAÍBA,781,JARDIM ITÁLIA,"RUA CORUMBAÍBA, 781 - JARDIM ITÁLIA",03192-060,20283768,2965-3891,Apetece Sistemas de Alimentação Ltda,6817
309,92061,EMEI,CORNELIO PIRES,PENHA,PE II,emeicpires@prefeitura.sp.gov.br,PRAÇA MANOEL DE MESQUITA,15,VILA INVERNADA,"PRAÇA MANOEL DE MESQUITA, 15 - VILA INVERNADA",03350-040,29650372,2028-3688,Apetece Sistemas de Alimentação Ltda,6818
310,92070,EMEI,"MARIO ALVES DE CARVALHO, DR.",PENHA,PE II,emeimacarvalho@prefeitura.sp.gov.br,PARQUE DOM PEDRO I,S/N,VILA INVERNADA,"PARQUE DOM PEDRO I, S/N - VILA INVERNADA",03351-125,26712684,2671-0067,Apetece Sistemas de Alimentação Ltda,6819
311,92088,EMEI,FRANCISCO ROQUETTI,ITAQUERA,IQ,emeifroquetti@prefeitura.sp.gov.br,PRAÇA LEÃO X,S/N,VILA FORMOSA,"PRAÇA LEÃO X, S/N - VILA FORMOSA",03359-025,21545184,2004-1102,Apetece Sistemas de Alimentação Ltda,6820
312,92096,EMEI,"JOAO ORTALE, PROF.",ITAQUERA,IQ,emeiortale@prefeitura.sp.gov.br,PRAÇA DIOGO DE AGUIRRE,S/N,VILA FORMOSA,"PRAÇA DIOGO DE AGUIRRE, S/N - VILA FORMOSA",03363-110,26742062,2674-1120,Apetece Sistemas de Alimentação Ltda,6821
313,92100,EMEI,"ALBERTO MESQUITA DE CAMARGO, PROF.",ITAQUERA,IQ,emeiamcamargo@prefeitura.sp.gov.br,PRAÇA BARÃO HOMEM DE MELO,S/N,VILA STA ISABEL,"PRAÇA BARÃO HOMEM DE MELO, S/N - VILA STA ISABEL",03423-010,22961400,2098-0333,Apetece Sistemas de Alimentação Ltda,6822
314,92118,EMEI,"NEYL GOMEZ MARTIN, PROFA.",ITAQUERA,IQ,emeingmartin@prefeitura.sp.gov.br,RUA MIGUEL BASTOS SOARES,275,JARDIM IVA,"RUA MIGUEL BASTOS SOARES, 275 - JARDIM IVA",03910-000,21541057,2004-1124,Apetece Sistemas de Alimentação Ltda,10036
315,92126,EMEI,"JOSE VICENTE DA CUNHA, PROF.",SÃO MATEUS,SM II,ceirgpedrosa@prefeitura.sp.gov.br,RUA SÃO JOÃO DO PARAISO,281,JARDIM IMPERADOR,"RUA SÃO JOÃO DO PARAISO, 281 - JARDIM IMPERADOR",03934-000,27214293,2721-4293,Comercial Milano Brasil LTDA,11327
316,92134,EMEI,"OLANDYA PERES RIBEIRO, PROFA.",ITAQUERA,IQ,emeiopribeiro@prefeitura.sp.gov.br,RUA DR. MARIANO C. DE MOURA,395,VILA CARRÃO,"RUA DR. MARIANO C. DE MOURA, 395 - VILA CARRÃO",03451-000,27831220,2783-0893,Apetece Sistemas de Alimentação Ltda,10045
317,92142,EMEI,"SUZANA EVANGELINA FELIPPE, PROFA.",ITAQUERA,IQ,emeisefelippe@prefeitura.sp.gov.br,PRAÇA HAROLDO DALTRO,S/N,VILA NOVA MANCHESTER,"PRAÇA HAROLDO DALTRO, S/N - VILA NOVA MANCHESTER",03444-090,29411368,2091-6132,Apetece Sistemas de Alimentação Ltda,6823
318,92151,EMEI,"ELDY POLI BIFONE, PROFA.",PENHA,PE II,emeiepbifone@prefeitura.sp.gov.br,AVENIDA ARISTON DE AZEVEDO,134,BELENZINHO,"AVENIDA ARISTON DE AZEVEDO, 134 - BELENZINHO",03021-020,22921933,2694-7365,Apetece Sistemas de Alimentação Ltda,6824
319,92169,EMEI,"ANCHIETA, PE.",JAÇANÃ / TREMEMBÉ,JT,emeianchieta@prefeitura.sp.gov.br,RUA MARIA CANDIDA,1592,VILA GUILHERME,"RUA MARIA CANDIDA, 1592 - VILA GUILHERME",02071-002,29093661,2909-3661,SHA Comércio de Alimentos Ltda,6783
320,92177,EMEI,"LOURENCO FILHO, PROF.",JAÇANÃ / TREMEMBÉ,JT,emeilourenco@prefeitura.sp.gov.br,RUA LUIS FELIPE DE ORLEANS,1062,VILA MARIA BAIXA,"RUA LUIS FELIPE DE ORLEANS, 1062 - VILA MARIA BAIXA",02118-001,2954-4860,2954-4860,SHA Comércio de Alimentos Ltda,6784
321,92185,EMEI,ANA NERI,JAÇANÃ / TREMEMBÉ,JT,emeiananeri@prefeitura.sp.gov.br,RUA SD ALBINO CESAR,25,PARQUE NOVO MUNDO,"RUA SD ALBINO CESAR, 25 - PARQUE NOVO MUNDO",02180-010,29540558,2967-5643,SHA Comércio de Alimentos Ltda,6785
322,92193,EMEI,"YUKIO OZAKI, PROF.",JAÇANÃ / TREMEMBÉ,JT,emeiyozaki@prefeitura.sp.gov.br,PRAÇA YEDO,S/N,JARDIM JAPÃO,"PRAÇA YEDO, S/N - JARDIM JAPÃO",02134-050,22122821,2934-0523,SHA Comércio de Alimentos Ltda,6786
323,92207,EMEI,CARLOS GOMES,JAÇANÃ / TREMEMBÉ,JT,emeicgomes@prefeitura.sp.gov.br,PRAÇA JANIO DA SILVA QUADROS,S/N,VILA MARIA ALTA,"PRAÇA JANIO DA SILVA QUADROS, S/N - VILA MARIA ALTA",02132-000,29316779,2982-1444,SHA Comércio de Alimentos Ltda,6787
324,92215,EMEI,EDUARDO CARLOS PEREIRA,JAÇANÃ / TREMEMBÉ,JT,emeiecpereira@prefeitura.sp.gov.br,RUA GAL MENDES,7,VILA MARIA ALTA,"RUA GAL MENDES, 7 - VILA MARIA ALTA",02127-020,29544340,2954-6177,SHA Comércio de Alimentos Ltda,6788
325,92223,EMEI,"MARIA ISABEL PACHECO DE A. RIBEIRO, PROFA.",JAÇANÃ / TREMEMBÉ,JT,emeimipribeiro@prefeitura.sp.gov.br,RUA FRANCISCO FRANCO MACHDO,160,VILA SABRINA,"RUA FRANCISCO FRANCO MACHDO, 160 - VILA SABRINA",02139-020,22010303,2931-5773,SHA Comércio de Alimentos Ltda,6789
326,92231,EMEI,CIDADE FERNAO DIAS,JAÇANÃ / TREMEMBÉ,JT,emeicfdias@prefeitura.sp.gov.br,RUA DO BANDOLIM,27,VILA SABRINA,"RUA DO BANDOLIM, 27 - VILA SABRINA",02161-080,22016349,2201-6349,SHA Comércio de Alimentos Ltda,6792
327,92240,EMEI,"EDU CHAVES, AVIADOR",JAÇANÃ / TREMEMBÉ,JT,emeiechaves@prefeitura.sp.gov.br,AVENIDA EDU CHAVES,1561,PARQUE EDU CHAVES,"AVENIDA EDU CHAVES, 1561 - PARQUE EDU CHAVES",02229-001,22429979,2242-7285,SHA Comércio de Alimentos Ltda,6775
